documentID,products
374,"['HP Indigo 10000 Digital Press', ' HP Indigo 10000HD Digital Press', ' HP Indigo 10r Digital Press', ' HP Indigo 12000 Digital Press', ' HP Indigo 12000HD Digital Press', ' HP Indigo WS6600 Digital Press', ' HP Indigo WS6600p Digital Press', ' HP Indigo WS6800p Digital Press', ' HP Indigo 6900 Digital Press', ' HP Indigo WS6800 Digital Press', ' HP Indigo 7600 Digital Press', ' HP Indigo 7800 Digital Press', ' HP Indigo 7000 Digital Press', ' HP Indigo 7500 Digital Press', ' HP Indigo 7r Digital Press', ' HP Indigo 20000 Digital Press', ' HP Indigo 8000 Digital Press', ' HP Indigo 30000 Digital Press', ' HP Indigo 5600 Digital Press', ' HP Indigo 5900 Digital Press', ' HP Indigo 5000 Digital Press', ' HP Indigo 3500 Digital Press', ' HP Indigo 3550 Digital Press', ' HP Indigo 3050 Digital Press', ' HP Indigo 3000 Digital Press', ' HP Indigo 100K Digital Press', ' HP Indigo 6K Digital Press', ' HP Indigo 7K Digital Press', ' HP Indigo 8K Digital Press', ' HP Indigo 35K Digital Press', ' HP Indigo 7900 Digital Press', ' HP Indigo 25K Digital Press', ' HP Indigo 15K Digital Press', ' HP Indigo WS6000p Digital Press', ' HP Indigo WS6000 Digital Press', ' HP Indigo 6r Digital Press', ' HP Indigo 6P Digital Press', ' HP Indigo 5r Digital Press', ' HP Indigo 5500 Digital Press', ' HP Indigo ws2000 Digital Press', ' HP Indigo s2000 Digital Press', ' HP Indigo ws4000 Digital Press ', ' HP Indigo ws4050 Digital Press', ' HP Indigo ws4500 Digital Press', ' HP Indigo WS4600 Digital Press', ' HP Indigo W7200 Digital Press', ' HP Indigo W7250 Digital Press', ' HP Indigo V12 Digital Press', ' HP Indigo 200K Digital Press', ' HP Indigo 120K Digital Press', ' HP Indigo 18K Digital Press', ' ']"
375,"['HP Indigo 10000 Digital Press', ' HP Indigo 10000HD Digital Press', ' HP Indigo 10r Digital Press', ' HP Indigo 12000 Digital Press', ' HP Indigo 12000HD Digital Press', ' HP Indigo WS6600 Digital Press', ' HP Indigo WS6600p Digital Press', ' HP Indigo WS6800p Digital Press', ' HP Indigo 6900 Digital Press', ' HP Indigo WS6800 Digital Press', ' HP Indigo 7600 Digital Press', ' HP Indigo 7800 Digital Press', ' HP Indigo 7000 Digital Press', ' HP Indigo 7500 Digital Press', ' HP Indigo 7r Digital Press', ' HP Indigo 20000 Digital Press', ' HP Indigo 8000 Digital Press', ' HP Indigo 30000 Digital Press', ' HP Indigo 5600 Digital Press', ' HP Indigo 5900 Digital Press', ' HP Indigo 5000 Digital Press', ' HP Indigo 3500 Digital Press', ' HP Indigo 3550 Digital Press', ' HP Indigo 3050 Digital Press', ' HP Indigo 3000 Digital Press', ' HP Indigo 100K Digital Press', ' HP Indigo 6K Digital Press', ' HP Indigo 7K Digital Press', ' HP Indigo 8K Digital Press', ' HP Indigo 35K Digital Press', ' HP Indigo 7900 Digital Press', ' HP Indigo 25K Digital Press', ' HP Indigo 15K Digital Press', ' HP Indigo WS6000p Digital Press', ' HP Indigo WS6000 Digital Press', ' HP Indigo 6r Digital Press', ' HP Indigo 6P Digital Press', ' HP Indigo 5r Digital Press', ' HP Indigo 5500 Digital Press', ' HP Indigo ws2000 Digital Press', ' HP Indigo s2000 Digital Press', ' HP Indigo ws4000 Digital Press ', ' HP Indigo ws4050 Digital Press', ' HP Indigo ws4500 Digital Press', ' HP Indigo WS4600 Digital Press', ' HP Indigo W7200 Digital Press', ' HP Indigo W7250 Digital Press', ' HP Indigo V12 Digital Press', ' HP Indigo 200K Digital Press', ' HP Indigo 120K Digital Press', ' HP Indigo 18K Digital Press', ' ']"
376,['HP Indigo 10000 Digital Press']
383,['HP Indigo 8000 Digital Press']
396,['HP Indigo 7900 Digital Press']
398,['HP Indigo 7900 Digital Press']
399,['HP Indigo 7900 Digital Press']
400,['HP Indigo 7900 Digital Press']
401,['HP Indigo 7900 Digital Press']
402,['HP Indigo 7900 Digital Press']
403,['HP Indigo 7900 Digital Press']
404,['HP Indigo 7900 Digital Press']
411,
414,['HP Indigo 12000 Digital Press']
415,['HP Indigo 12000 Digital Press']
416,['HP Indigo 7900 Digital Press']
417,"['HP Indigo 10000 Digital Press', ' HP Indigo 10000HD Digital Press', ' HP Indigo 10r Digital Press', ' HP Indigo 12000 Digital Press', ' HP Indigo 12000HD Digital Press', ' HP Indigo WS6600 Digital Press', ' HP Indigo WS6600p Digital Press', ' HP Indigo WS6800p Digital Press', ' HP Indigo 6900 Digital Press', ' HP Indigo WS6800 Digital Press', ' HP Indigo 7600 Digital Press', ' HP Indigo 7800 Digital Press', ' HP Indigo 7000 Digital Press', ' HP Indigo 7500 Digital Press', ' HP Indigo 7r Digital Press', ' HP Indigo 20000 Digital Press', ' HP Indigo 8000 Digital Press', ' HP Indigo 30000 Digital Press', ' HP Indigo 5600 Digital Press', ' HP Indigo 5900 Digital Press', ' HP Indigo 5000 Digital Press', ' HP Indigo 3500 Digital Press', ' HP Indigo 3550 Digital Press', ' HP Indigo 3050 Digital Press', ' HP Indigo 3000 Digital Press', ' HP Indigo 100K Digital Press', ' HP Indigo 6K Digital Press', ' HP Indigo 7K Digital Press', ' HP Indigo 8K Digital Press', ' HP Indigo 35K Digital Press', ' HP Indigo 7900 Digital Press', ' HP Indigo 25K Digital Press', ' HP Indigo 15K Digital Press', ' HP Indigo WS6000p Digital Press', ' HP Indigo WS6000 Digital Press', ' HP Indigo 6r Digital Press', ' HP Indigo 6P Digital Press', ' HP Indigo 5r Digital Press', ' HP Indigo 5500 Digital Press', ' HP Indigo ws2000 Digital Press', ' HP Indigo s2000 Digital Press', ' HP Indigo ws4000 Digital Press ', ' HP Indigo ws4050 Digital Press', ' HP Indigo ws4500 Digital Press', ' HP Indigo WS4600 Digital Press', ' HP Indigo W7200 Digital Press', ' HP Indigo W7250 Digital Press', ' HP Indigo V12 Digital Press', ' HP Indigo 200K Digital Press', ' HP Indigo 120K Digital Press', ' HP Indigo 18K Digital Press', ' ']"
429,
509,
510,"['HP Indigo 10000 Digital Press, HP Indigo 10000HD Digital Press, HP Indigo 10r Digital Press, HP Indigo 12000 Digital Press, HP Indigo 12000HD Digital Press, HP Indigo 15K Digital Press, HP Indigo 18K Digital Press']"
525,['HP Indigo 20000 Digital Press']
533,"['HP Indigo 10000 Digital Press', ' HP Indigo 10000HD Digital Press', ' HP Indigo 10r Digital Press', ' HP Indigo 12000 Digital Press', ' HP Indigo 12000HD Digital Press', ' HP Indigo WS6600 Digital Press', ' HP Indigo WS6600p Digital Press', ' HP Indigo WS6800p Digital Press', ' HP Indigo 6900 Digital Press', ' HP Indigo WS6800 Digital Press', ' HP Indigo 7600 Digital Press', ' HP Indigo 7800 Digital Press', ' HP Indigo 7000 Digital Press', ' HP Indigo 7500 Digital Press', ' HP Indigo 7r Digital Press', ' HP Indigo 20000 Digital Press', ' HP Indigo 8000 Digital Press', ' HP Indigo 30000 Digital Press', ' HP Indigo 5600 Digital Press', ' HP Indigo 5900 Digital Press', ' HP Indigo 5000 Digital Press', ' HP Indigo 3500 Digital Press', ' HP Indigo 3550 Digital Press', ' HP Indigo 3050 Digital Press', ' HP Indigo 3000 Digital Press', ' HP Indigo 100K Digital Press', ' HP Indigo 6K Digital Press', ' HP Indigo 7K Digital Press', ' HP Indigo 8K Digital Press', ' HP Indigo 35K Digital Press', ' HP Indigo 7900 Digital Press', ' HP Indigo 25K Digital Press', ' HP Indigo 15K Digital Press', ' HP Indigo WS6000p Digital Press', ' HP Indigo WS6000 Digital Press', ' HP Indigo 6r Digital Press', ' HP Indigo 6P Digital Press', ' HP Indigo 5r Digital Press', ' HP Indigo 5500 Digital Press', ' HP Indigo ws2000 Digital Press', ' HP Indigo s2000 Digital Press', ' HP Indigo ws4000 Digital Press ', ' HP Indigo ws4050 Digital Press', ' HP Indigo ws4500 Digital Press', ' HP Indigo WS4600 Digital Press', ' HP Indigo W7200 Digital Press', ' HP Indigo W7250 Digital Press', ' HP Indigo V12 Digital Press', ' HP Indigo 200K Digital Press', ' HP Indigo 120K Digital Press', ' HP Indigo 18K Digital Press', ' ', 'HP PageWide Web Press T200', ' HP PageWide Web Press T230', ' HP PageWide Web Press T235', ' HP PageWide Web Press T240 HD', ' HP PageWide Web Press T260M', ' HP PageWide Web Press T260ML', ' HP PageWide Web Press T300', ' HP PageWide Web Press T300M', ' HP PageWide Web Press T350', ' HP PageWide Web Press T350M', ' HP PageWide Web Press T360', ' HP PageWide Web Press T360M', ' HP PageWide Web Press T400', ' HP PageWide Web Press T400M', ' HP PageWide Web Press T400S', ' HP PageWide Web Press T410', ' HP PageWide Web Press T410M', ' HP PageWide Web Press T470 HD', ' HP PageWide Web Press T480 HD', ' HP PageWide Web Press T490 HD', ' HP PageWide Web Press T490M HD', ' HP PageWide Web Press T1100S', ' HP PageWide Web Press T240M HD', ' HP PageWide Web Press T370 HD', ' HP PageWide Web Press T380 HD', ' HP PageWide Web Press T390 HD', ' HP PageWide Web Press T390M HD', ' HP PageWide Web Press T1170', ' HP PageWide Web Press T1190', ' HP PageWide Web Press T250 HD', ' HP PageWide Web Press T470S', ' HP PageWide A2200', ' HP PageWide Web Press T485', ' ']"
534,
559,"['HP Indigo 3500 Digital Press', 'HP Indigo 5000 Digital Press']"
